PROI,SEXO,MESPAR,ANOPAR,count
1,1,1,2021,98
1,1,2,2021,92
1,1,3,2021,108
1,1,4,2021,99
1,1,5,2021,90
1,1,6,2021,116
1,1,7,2021,99
1,1,8,2021,93
1,1,9,2021,114
1,1,10,2021,103
1,1,11,2021,108
1,1,12,2021,117
1,6,1,2021,76
1,6,2,2021,90
1,6,3,2021,87
1,6,4,2021,99
1,6,5,2021,85
1,6,6,2021,84
1,6,7,2021,115
1,6,8,2021,90
1,6,9,2021,95
1,6,10,2021,98
1,6,11,2021,106
1,6,12,2021,95
2,1,1,2021,100
2,1,2,2021,112
2,1,3,2021,113
2,1,4,2021,117
2,1,5,2021,111
2,1,6,2021,124
2,1,7,2021,150
2,1,8,2021,131
2,1,9,2021,139
2,1,10,2021,139
2,1,11,2021,104
2,1,12,2021,122
2,6,1,2021,99
2,6,2,2021,108
2,6,3,2021,102
2,6,4,2021,107
2,6,5,2021,119
2,6,6,2021,96
2,6,7,2021,129
2,6,8,2021,128
2,6,9,2021,114
2,6,10,2021,141
2,6,11,2021,101
2,6,12,2021,111
3,1,1,2021,514
3,1,2,2021,479
3,1,3,2021,546
3,1,4,2021,477
3,1,5,2021,572
3,1,6,2021,536
3,1,7,2021,634
3,1,8,2021,672
3,1,9,2021,650
3,1,10,2021,636
3,1,11,2021,603
3,1,12,2021,606
3,6,1,2021,419
3,6,2,2021,474
3,6,3,2021,548
3,6,4,2021,500
3,6,5,2021,535
3,6,6,2021,513
3,6,7,2021,577
3,6,8,2021,562
3,6,9,2021,592
3,6,10,2021,582
3,6,11,2021,595
3,6,12,2021,552
4,1,1,2021,262
4,1,2,2021,256
4,1,3,2021,284
4,1,4,2021,289
4,1,5,2021,266
4,1,6,2021,270
4,1,7,2021,318
4,1,8,2021,323
4,1,9,2021,297
4,1,10,2021,394
4,1,11,2021,316
4,1,12,2021,270
4,6,1,2021,231
4,6,2,2021,265
4,6,3,2021,283
4,6,4,2021,286
4,6,5,2021,271
4,6,6,2021,282
4,6,7,2021,291
4,6,8,2021,310
4,6,9,2021,302
4,6,10,2021,284
4,6,11,2021,276
4,6,12,2021,299
5,1,1,2021,24
5,1,2,2021,30
5,1,3,2021,40
5,1,4,2021,39
5,1,5,2021,32
5,1,6,2021,35
5,1,7,2021,37
5,1,8,2021,38
5,1,9,2021,33
5,1,10,2021,37
5,1,11,2021,31
5,1,12,2021,45
5,6,1,2021,23
5,6,2,2021,28
5,6,3,2021,51
5,6,4,2021,39
5,6,5,2021,27
5,6,6,2021,33
5,6,7,2021,35
5,6,8,2021,44
5,6,9,2021,34
5,6,10,2021,22
5,6,11,2021,36
5,6,12,2021,30
6,1,1,2021,161
6,1,2,2021,173
6,1,3,2021,194
6,1,4,2021,228
6,1,5,2021,204
6,1,6,2021,226
6,1,7,2021,251
6,1,8,2021,205
6,1,9,2021,256
6,1,10,2021,226
6,1,11,2021,217
6,1,12,2021,225
6,6,1,2021,184
6,6,2,2021,172
6,6,3,2021,209
6,6,4,2021,176
6,6,5,2021,185
6,6,6,2021,195
6,6,7,2021,225
6,6,8,2021,198
6,6,9,2021,218
6,6,10,2021,189
6,6,11,2021,183
6,6,12,2021,167
7,1,1,2021,362
7,1,2,2021,351
7,1,3,2021,455
7,1,4,2021,416
7,1,5,2021,396
7,1,6,2021,383
7,1,7,2021,428
7,1,8,2021,407
7,1,9,2021,413
7,1,10,2021,463
7,1,11,2021,425
7,1,12,2021,408
7,6,1,2021,344
7,6,2,2021,320
7,6,3,2021,411
7,6,4,2021,332
7,6,5,2021,340
7,6,6,2021,353
7,6,7,2021,404
7,6,8,2021,416
7,6,9,2021,424
7,6,10,2021,420
7,6,11,2021,383
7,6,12,2021,383
8,1,1,2021,1565
8,1,2,2021,1580
8,1,3,2021,1789
8,1,4,2021,1788
8,1,5,2021,1829
8,1,6,2021,1754
8,1,7,2021,2010
8,1,8,2021,1922
8,1,9,2021,1928
8,1,10,2021,1972
8,1,11,2021,1782
8,1,12,2021,1868
8,6,1,2021,1434
8,6,2,2021,1493
8,6,3,2021,1813
8,6,4,2021,1680
8,6,5,2021,1737
8,6,6,2021,1709
8,6,7,2021,1786
8,6,8,2021,1755
8,6,9,2021,1914
8,6,10,2021,1811
8,6,11,2021,1729
8,6,12,2021,1805
9,1,1,2021,98
9,1,2,2021,73
9,1,3,2021,87
9,1,4,2021,84
9,1,5,2021,113
9,1,6,2021,75
9,1,7,2021,95
9,1,8,2021,102
9,1,9,2021,78
9,1,10,2021,101
9,1,11,2021,92
9,1,12,2021,89
9,6,1,2021,68
9,6,2,2021,78
9,6,3,2021,75
9,6,4,2021,92
9,6,5,2021,76
9,6,6,2021,71
9,6,7,2021,92
9,6,8,2021,87
9,6,9,2021,88
9,6,10,2021,95
9,6,11,2021,90
9,6,12,2021,75
10,1,1,2021,88
10,1,2,2021,93
10,1,3,2021,100
10,1,4,2021,96
10,1,5,2021,101
10,1,6,2021,91
10,1,7,2021,103
10,1,8,2021,118
10,1,9,2021,96
10,1,10,2021,100
10,1,11,2021,106
10,1,12,2021,103
10,6,1,2021,79
10,6,2,2021,75
10,6,3,2021,89
10,6,4,2021,105
10,6,5,2021,92
10,6,6,2021,105
10,6,7,2021,80
10,6,8,2021,118
10,6,9,2021,98
10,6,10,2021,110
10,6,11,2021,118
10,6,12,2021,112
11,1,1,2021,315
11,1,2,2021,345
11,1,3,2021,399
11,1,4,2021,360
11,1,5,2021,354
11,1,6,2021,379
11,1,7,2021,433
11,1,8,2021,439
11,1,9,2021,420
11,1,10,2021,438
11,1,11,2021,397
11,1,12,2021,403
11,6,1,2021,307
11,6,2,2021,298
11,6,3,2021,358
11,6,4,2021,343
11,6,5,2021,328
11,6,6,2021,322
11,6,7,2021,408
11,6,8,2021,400
11,6,9,2021,415
11,6,10,2021,365
11,6,11,2021,364
11,6,12,2021,351
12,1,1,2021,153
12,1,2,2021,170
12,1,3,2021,176
12,1,4,2021,169
12,1,5,2021,164
12,1,6,2021,167
12,1,7,2021,188
12,1,8,2021,204
12,1,9,2021,173
12,1,10,2021,168
12,1,11,2021,173
12,1,12,2021,180
12,6,1,2021,120
12,6,2,2021,169
12,6,3,2021,173
12,6,4,2021,156
12,6,5,2021,156
12,6,6,2021,154
12,6,7,2021,169
12,6,8,2021,172
12,6,9,2021,180
12,6,10,2021,161
12,6,11,2021,176
12,6,12,2021,198
13,1,1,2021,95
13,1,2,2021,124
13,1,3,2021,153
13,1,4,2021,147
13,1,5,2021,153
13,1,6,2021,157
13,1,7,2021,156
13,1,8,2021,174
13,1,9,2021,187
13,1,10,2021,153
13,1,11,2021,150
13,1,12,2021,149
13,6,1,2021,137
13,6,2,2021,108
13,6,3,2021,142
13,6,4,2021,144
13,6,5,2021,132
13,6,6,2021,128
13,6,7,2021,161
13,6,8,2021,166
13,6,9,2021,154
13,6,10,2021,146
13,6,11,2021,137
13,6,12,2021,157
14,1,1,2021,223
14,1,2,2021,192
14,1,3,2021,277
14,1,4,2021,242
